nom_instance,config,root_obj,obj_sol1,time_sol1,gap_sol1,time,solved,feas,opt,obj,LB,gap,nb_nodes,nb_cuts,valid
inst10_4_LIN_f5.txt,PITK ,"26,29","93,15","0,04","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"80,08","46,99","41,32",634700,500,1
inst10_7_LIN_f5.txt, ,"69,04","130,93","0,11","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","81,88","29,53",1085392,0,1
inst10_7_LIN_f5.txt,I ,"69,04","129,14","0,07","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","78,92","32,07",830269,0,1
inst10_7_LIN_f5.txt,T ,"69,10","130,98","0,04","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","81,76","29,63",949281,0,1
inst10_7_LIN_f5.txt,K ,"69,04","129,36","0,09","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","81,32","30,01",1147552,0,1
inst10_7_LIN_f5.txt,P ,"69,04","130,93","0,11","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","80,46","30,75",738055,501,1
inst10_7_LIN_f5.txt,ITK ,"69,10","130,30","0,05","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","78,15","32,73",635626,0,1
inst10_7_LIN_f5.txt,PIT ,"69,10","135,23","0,09","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","80,03","31,12",711973,501,1
inst10_7_LIN_f5.txt,PIK ,"69,04","129,33","0,14","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","79,58","31,51",457000,501,1
inst10_7_LIN_f5.txt,PTK ,"69,10","130,98","0,04","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"116,19","85,43","26,47",925305,501,1
